name|set_name|set_code|mtg_id|card_type|power|toughness|loyalty|manacost|converted_manacost|artist|flavor|number|rarity|ruling|ability|watermark|
Arrows of Justice|Gatecrash|GTC|366381|Instant||||{2}{RW}|3|James Ryman|#_Archers from the Horizon Military Academy hone their skills by targeting pickpockets blocks away._#|211|U|£1/24/2013 : An “attacking creature” or “blocking creature” is one that has been declared as an attacker or blocker this combat, or one that was put onto the battlefield attacking or blocking this combat. Unless that creature leaves combat, it continues to be an attacking or blocking creature through the end of combat step, even if the player it was attacking has left the game, the planeswalker it was attacking has left combat, or the creature or creatures it was blocking have left combat, as appropriate. £1/24/2013 : Arrows of Justice may be cast during the end of combat step, after combat damage has been dealt.|Arrows of Justice deals 4 damage to target attacking or blocking creature.|Boros|
Assault Griffin|Gatecrash|GTC|366337|Creature — Griffin|3|2||{3}{W}|4|Eric Velhagen|#_"The Simic offer a prize to any biomancer who can breed a krasis to match a griffin in the air. It's never been claimed."_#£#_—Libuse, Boros sergeant_#|4|C||Flying||
Assemble the Legion|Gatecrash|GTC|366470|Enchantment||||{3}{R}{W}|5|Eric Deschamps||142|R|£1/24/2013 : If Assemble the Legion isn’t on the battlefield when its ability resolves, use the number of muster counters it had when it was last on the battlefield to determine how many Soldier tokens to put onto the battlefield.|At the beginning of your upkeep, put a muster counter on Assemble the Legion. Then put a 1/1 red and white Soldier creature token with haste onto the battlefield for each muster counter on Assemble the Legion.|Boros|
Aurelia, the Warleader|Gatecrash|GTC|366448|Legendary Creature — Angel|3|4||{2}{R}{R}{W}{W}|6|Slawomir Maniak|#_Where Razia was aloof and untouchable, Aurelia is on the frontlines, calling for war._#|143|M|£1/24/2013 : You untap all creatures you control, including ones that aren’t attacking. £1/24/2013 : You don’t have to attack with any creatures during the additional combat phase. £1/24/2013 : If Aurelia is put onto the battlefield attacking, the triggered ability won’t trigger.|Flying, vigilance, haste£Whenever Aurelia, the Warleader attacks for the first time each turn, untap all creatures you control. After this phase, there is an additional combat phase.|Boros|
Aurelia's Fury|Gatecrash|GTC|366384|Instant||||{X}{R}{W}|2|Tyler Jacobson||144|M||Aurelia's Fury deals X damage divided as you choose among any number of target creatures and/or players. Tap each creature dealt damage this way. Players dealt damage this way can't cast noncreature spells this turn.|Boros|
Balustrade Spy|Gatecrash|GTC|366464|Creature — Vampire Rogue|2|3||{3}{B}|4|Jaime Jones||57|C|£1/24/2013 : If the target player has no land cards in his or her library, all cards from that library will be revealed and put into his or her graveyard.|Flying£When Balustrade Spy enters the battlefield, target player reveals cards from the top of his or her library until he or she reveals a land card, then puts those cards into his or her graveyard.||
Bane Alley Broker|Gatecrash|GTC|366475|Creature — Human Rogue|0|3||{1}{U}{B}|3|Clint Cearley||145|U|£1/24/2013 : If Bane Alley Broker’s first ability resolves when you have no cards in your hand, you’ll draw a card and then exile it. You won’t have the opportunity to cast that card (or do anything else with it) before exiling it. £1/24/2013 : Once you are allowed to look at a face-down card in exile, you are allowed to look at that card as long as it’s exiled. If you no longer control Bane Alley Broker when its last ability resolves, you can continue to look at the relevant cards in exile to choose one to return. £1/24/2013 : Bane Alley Broker’s second and third abilities apply to cards exiled with that specific Bane Alley Broker, not any other creature named Bane Alley Broker. You should keep cards exiled by different Bane Alley Brokers separate. £1/24/2013 : If Bane Alley Broker leaves the battlefield, the cards exiled with it will be exiled indefinitely. If it later returns to the battlefield, it will be a new object with no connection to the cards exiled with it in its previous existence. You won’t be able to use the “new” Bane Alley Broker to return cards exiled with the “old” one. £1/24/2013 : Even if not all players can look at the exiled cards, each card’s owner is still known. It is advisable to keep cards owned by different players in distinct piles in case another player gains control of Bane Alley Broker and exiles one or more cards with it.|{T}: Draw a card, then exile a card from your hand face down.£You may look at cards exiled with Bane Alley Broker.£{U}{B}, {T}: Return a card exiled with Bane Alley Broker to its owner's hand.|Dimir|
Basilica Guards|Gatecrash|GTC|366347|Creature — Human Soldier|1|4||{2}{W}|3|Dan Scott|#_"None may pass . . . for free."_#|5|C||Defender£Extort #_(Whenever you cast a spell, you may pay {WB}. If you do, each opponent loses 1 life and you gain that much life.)_#|Orzhov|
Basilica Screecher|Gatecrash|GTC|366321|Creature — Bat|1|2||{1}{B}|2|Christine Choi|#_A screech in the night is all it takes for Orzhov debtors to clutch at their coin purses._#|58|C||Flying£Extort #_(Whenever you cast a spell, you may pay {WB}. If you do, each opponent loses 1 life and you gain that much life.)_#|Orzhov|
Beckon Apparition|Gatecrash|GTC|366461|Instant||||{WB}|1|Cliff Childs|#_The foyer is littered with the coins it demands but can no longer hold._#|212|C|£8/1/2008 : The controller of Beckon Apparition gets the token. £1/24/2013 : Beckon Apparition will be on the stack when you choose its target. It can’t target itself. £1/24/2013 : If the target card is an illegal target when Beckon Apparition tries to resolve (if it's no longer in the graveyard, for instance), the spell will be countered and none of its effects will happen. You won’t get a Spirit token.|Exile target card from a graveyard. Put a 1/1 white and black Spirit creature token with flying onto the battlefield.|Orzhov|
Biomass Mutation|Gatecrash|GTC|366312|Instant||||{X}{GU}{GU}|2|Dan Scott|#_"A regression to ancient forms? A glimpse of future evolutions? Or a fleeting alteration of the present?"_#£#_—Vorel of the Hull Clade_#|213|R|£1/24/2013 : Choosing 0 as the value for X will likely cause creatures you control to become 0/0 and be put into the graveyard. £1/24/2013 : Biomass Mutation overwrites any effects that set the power and/or toughness of a creature you control to a specific value. Effects that modify power and/or toughness but don’t set them to a specific value (like the one created by Giant Growth), power/toughness changes from counters, and effects that switch a creature’s power and toughness will continue to apply. For example, say you control a 1/1 creature that’s getting +4/+2 from an Aura, has a +1/+1 counter on it, and is affected by an effect that switches its power and toughness. This creature is 4/6. If you cast Biomass Mutation with X equal to 4, the creature would become 7/9 (4/4, +4/+2 from the Aura, +1/+1 from the counter, then switch power and toughness).|Creatures you control become X/X until end of turn.|Simic|
Bioshift|Gatecrash|GTC|366299|Instant||||{GU}|1|Scott Chou|#_"It's all right if you change your mind. There's always a chance we can rearrange parts later."_#£#_—Zija, Simic mutationist_#|214|C|£1/24/2013 : To move a counter from one creature to another, the counter is removed from the first creature and placed on the second. Any abilities that care about a counter being removed or placed on a creature will apply. £1/24/2013 : You decide how many counters to move when Bioshift resolves. £1/24/2013 : If one of the two creatures is an illegal target when Bioshift tries to resolve, or if the creatures are controlled by different players at that time, no counters will move.|Move any number of +1/+1 counters from target creature onto another target creature with the same controller.|Simic|
Biovisionary|Gatecrash|GTC|366414|Creature — Human Wizard|2|3||{1}{G}{U}|3|Ryan Barger|#_He tired of his fellow researchers and their useless prattling, so he decided to make a network of scholars with whom he could carry a conversation._#|146|R|£1/24/2013 : Token creatures that are a copy of Biovisionary will count. £1/24/2013 : If you don’t control four or more creatures named Biovisionary at the beginning of the end step, the ability won’t trigger. £1/24/2013 : If the ability does trigger, but you don’t control four or more creatures named Biovisionary when the ability tries to resolve, the ability will do nothing.|At the beginning of the end step, if you control four or more creatures named Biovisionary, you win the game.|Simic|
Blind Obedience|Gatecrash|GTC|366465|Enchantment||||{1}{W}|2|Seb McKinnon|#_"By the time your knees have worn through your robe, you may have begun to learn your place."_#|6|R||Extort #_(Whenever you cast a spell, you may pay {WB}. If you do, each opponent loses 1 life and you gain that much life.)_#£Artifacts and creatures your opponents control enter the battlefield tapped.|Orzhov|
Bomber Corps|Gatecrash|GTC|366370|Creature — Human Soldier|1|2||{1}{R}|2|Chase Stone|#_"Subtlety is for lawmages and spies."_#|86|C||Battalion — Whenever Bomber Corps and at least two other creatures attack, Bomber Corps deals 1 damage to target creature or player.|Boros|
Borborygmos Enraged|Gatecrash|GTC|366283|Legendary Creature — Cyclops|7|6||{4}{R}{R}{G}{G}|8|Aleksi Briclot||147|M||Trample£Whenever Borborygmos Enraged deals combat damage to a player, reveal the top three cards of your library. Put all land cards revealed this way into your hand and the rest into your graveyard.£Discard a land card: Borborygmos Enraged deals 3 damage to target creature or player.|Gruul|
Boros Charm|Gatecrash|GTC|366435|Instant||||{R}{W}|2|Zoltan Boros|#_"Practice compassion and mercy. But know when they must end."_#£#_—Aurelia_#|148|U|£1/24/2013 : If you choose the second mode, permanents that come under your control later in the turn will also be indestructible. £1/24/2013 : Indestructible planeswalkers will still have loyalty counters removed from them as they are dealt damage. If an indestructible planeswalker has no loyalty counters, it will still be put into its owner's graveyard, as the rule that does this doesn't destroy the planeswalker.|Choose one — Boros Charm deals 4 damage to target player; or permanents you control are indestructible this turn; or target creature gains double strike until end of turn.|Boros|
Boros Elite|Gatecrash|GTC|366369|Creature — Human Soldier|1|1||{W}|1|Willian Murai|#_"First, you must fight among the rank and file. It is there I will discern your skills as a leader."_#£#_—Aurelia, to Gideon Jura_#|7|U||Battalion — Whenever Boros Elite and at least two other creatures attack, Boros Elite gets +2/+2 until end of turn.|Boros|
Boros Guildgate|Gatecrash|GTC|366390|Land — Gate|||||0|Noah Bradley|#_Enter with merciful hearts. Exit with battle cries._#|239|C||Boros Guildgate enters the battlefield tapped.£{T}: Add {R} or {W} to your mana pool.|Boros|
Boros Keyrune|Gatecrash|GTC|366413|Artifact||||{3}|3|Daniel Ljunggren||227|U||{T}: Add {R} or {W} to your mana pool.£{R}{W}: Boros Keyrune becomes a 1/1 red and white Soldier artifact creature with double strike until end of turn. #_(It deals both first-strike and regular combat damage.)_#|Boros|
Boros Reckoner|Gatecrash|GTC|366385|Creature — Minotaur Wizard|3|3||{RW}{RW}{RW}|3|Howard Lyon|#_"Imagine a thunderstorm that's also a tactical genius. That's him."_#£#_—Dars Gostok, Firefist captain_#|215|R|£1/24/2013 : Boros Reckoner’s first ability will trigger even if it is dealt lethal damage. For example, if it blocks a 7/7 creature, its ability will trigger and Boros Reckoner will deal 7 damage to the target creature or player. £1/24/2013 : Damage dealt by Boros Reckoner due to its first ability isn’t combat damage, even if it was combat damage that caused that ability to trigger.|Whenever Boros Reckoner is dealt damage, it deals that much damage to target creature or player.£{RW}: Boros Reckoner gains first strike until end of turn.|Boros|
Breeding Pool|Gatecrash|GTC|366291|Land — Forest Island|||||0|Mike Bierek|#_Uncharted depths. Unbounded hopes. Unfathomable mysteries._#|240|R|£10/1/2005 : Has basic land types, but isn't a basic land.  Things that affect basic lands don't affect it.  For example, you can't find it with Civic Wayfinder. £10/1/2005 : If another effect (such as Loxodon Gatekeeper's ability) tells you to put lands onto the battlefield tapped, it enters the battlefield tapped whether you pay 2 life or not. £10/1/2005 : If multiple permanents with "as enters the battlefield" effects are entering the battlefield at the same time, process those effects one at a time, then put the permanents onto the battlefield all at once. For example, if you're at 3 life and an effect puts two of these onto the battlefield, you can pay 2 life for only one of them, not both.|#_({T}: Add {G} or {U} to your mana pool.)_#£As Breeding Pool enters the battlefield, you may pay 2 life. If you don't, Breeding Pool enters the battlefield tapped.|Simic|
Burning-Tree Emissary|Gatecrash|GTC|366467|Creature — Human Shaman|2|2||{RG}{RG}|2|Izzy|#_Those who regard the Gruul as savage simpletons underestimate the subtle power of their shamans._#|216|U|£1/24/2013 : Burning-Tree Emissary’s enters-the-battlefield ability isn’t a mana ability. It uses the stack and can be responded to.|When Burning-Tree Emissary enters the battlefield, add {R}{G} to your mana pool.|Gruul|
Burst of Strength|Gatecrash|GTC|366304|Instant||||{G}|1|Marco Nelor|#_"Our fight is not about territory or revenge. It is about freedom, plain and simple."_#£#_—Ruric Thar, Ghor-Clan chieftain_#|115|C|£1/24/2013 : Burst of Strength can target and put a +1/+1 counter on a creature that’s already untapped.|Put a +1/+1 counter on target creature and untap it.||
Call of the Nightwing|Gatecrash|GTC|366308|Sorcery||||{2}{U}{B}|4|Adam Paquette||149|U|£1/24/2013 : You can exile Call of the Nightwing encoded on the Horror creature token it just created.|Put a 1/1 blue and black Horror creature token with flying onto the battlefield.£Cipher #_(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)_#|Dimir|
Cartel Aristocrat|Gatecrash|GTC|366364|Creature — Human Advisor|2|2||{W}{B}|2|James Ryman|#_"Your life serves a higher purpose now: ensuring the continuation of my own."_#|150|U|£1/24/2013 : You choose the color when the ability resolves.|Sacrifice another creature: Cartel Aristocrat gains protection from the color of your choice until end of turn.|Orzhov|
Cinder Elemental|Gatecrash|GTC|366314|Creature — Elemental|2|2||{3}{R}|4|Svetlin Velinov|#_"The old gods awoke and sent fingers of fire to see what was left of the old ways under the endless city."_#£#_—Daiva, Gruul storyteller_#|87|U||{X}{R}, {T}, Sacrifice Cinder Elemental: Cinder Elemental deals X damage to target creature or player.||
Clan Defiance|Gatecrash|GTC|366468|Sorcery||||{X}{R}{G}|2|Daarken||151|R|£1/24/2013 : You can choose just one mode, any two of the modes, or all three. You make this choice as you cast Clan Defiance. £1/24/2013 : The value of X is the same for each mode you choose.|Choose one or more — Clan Defiance deals X damage to target creature with flying; Clan Defiance deals X damage to target creature without flying; and/or Clan Defiance deals X damage to target player.|Gruul|
Clinging Anemones|Gatecrash|GTC|366363|Creature — Jellyfish|1|4||{3}{U}|4|Mike Bierek||31|C||Defender£Evolve #_(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)_#|Simic|
Cloudfin Raptor|Gatecrash|GTC|366403|Creature — Bird Mutant|0|1||{U}|1|Peter Mohrbacher||32|C||Flying£Evolve #_(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)_#|Simic|
Coerced Confession|Gatecrash|GTC|366408|Sorcery||||{4}{UB}|5|Mathias Kollros|#_"Ask the right questions in the right way and truth is inevitable."_#£#_—Lazav_#|217|U||Target player puts the top four cards of his or her library into his or her graveyard. You draw a card for each creature card put into that graveyard this way.|Dimir|
Consuming Aberration|Gatecrash|GTC|366391|Creature — Horror|*|*||{3}{U}{B}|5|Karl Kopinski||152|R|£1/24/2013 : If any opponent has no land cards in his or her library, all the cards from that library will be revealed and put into his or her graveyard. £1/24/2013 : The cards will be put into graveyards before the spell you cast to cause the ability to trigger resolves. However, none of those cards will be in a graveyard as you cast that spell, so they can’t be chosen as a target of that spell.|Consuming Aberration's power and toughness are each equal to the number of cards in your opponents' graveyards.£Whenever you cast a spell, each opponent reveals cards from the top of his or her library until he or she reveals a land card, then puts those cards into his or her graveyard.|Dimir|
Contaminated Ground|Gatecrash|GTC|366420|Enchantment — Aura||||{1}{B}|2|Christine Choi|#_"No one cares about pollution until they can see it."_#£#_—Gurras, Golgari rot farmer_#|59|C|£6/15/2010 : The enchanted land loses its existing land types and any abilities printed on it. It now has the land type Swamp and has the ability to tap to add {B} to its controller's mana pool. Contaminated Ground doesn't change the enchanted land's name or whether it's legendary, basic, or snow. £6/15/2010 : Contaminated Ground's last ability triggers whenever the enchanted land becomes tapped for any reason, not just when it's tapped for mana. £6/15/2010 : If, while casting a spell or activating an ability, the enchanted land's controller taps the land for mana to pay for it, Contaminated Ground's ability triggers and goes on the stack on top of that spell or ability. Contaminated Ground's ability will resolve first. £6/15/2010 : On the other hand, the enchanted land's controller may tap the land for mana, let Contaminated Ground's ability trigger and go on the stack, then spend that mana to cast an instant or activate an ability in response. In that case, that instant or ability will resolve first.|Enchant land£Enchanted land is a Swamp.£Whenever enchanted land becomes tapped, its controller loses 2 life.||
Corpse Blockade|Gatecrash|GTC|366277|Creature — Zombie|1|4||{2}{B}|3|Lucas Graciano|#_There are laws against it, but the dead have no one to complain to and the living are too frightened to investigate._#|60|C||Defender£Sacrifice another creature: Corpse Blockade gains deathtouch until end of turn.||
Court Street Denizen|Gatecrash|GTC|366389|Creature — Human Soldier|2|2||{2}{W}|3|Volkan Baga|#_"The Boros fight for justice. The Azorius fight for law. I hold the line between, and make sure the people are given both."_#|8|C||Whenever another white creature enters the battlefield under your control, tap target creature an opponent controls.||
Crackling Perimeter|Gatecrash|GTC|366255|Enchantment||||{1}{R}|2|Yeong-Hao Han|#_As the path he sought came into focus, Niv-Mizzet took steps to prevent others from approaching it._#|88|U|£1/24/2013 : You can’t tap an untapped Gate you control for mana and tap it to activate Crackling Perimeter’s ability at the same time. You must choose one or the other.|Tap an untapped Gate you control: Crackling Perimeter deals 1 damage to each opponent.||
Crocanura|Gatecrash|GTC|366319|Creature — Crocodile Frog|1|3||{2}{G}|3|Jack Wang||116|C||Reach #_(This creature can block creatures with flying.)_#£Evolve #_(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)_#|Simic|
Crowned Ceratok|Gatecrash|GTC|366256|Creature — Rhino|4|3||{3}{G}|4|Steve Prescott|#_The best way to calm a rampaging ceratok is to wait until it dies of natural causes._#|117|U||Trample£Each creature you control with a +1/+1 counter on it has trample.||
Crypt Ghast|Gatecrash|GTC|366452|Creature — Spirit|2|2||{3}{B}|4|Chris Rahn||61|R||Extort #_(Whenever you cast a spell, you may pay {WB}. If you do, each opponent loses 1 life and you gain that much life.)_#£Whenever you tap a Swamp for mana, add {B} to your mana pool #_(in addition to the mana the land produces)_#.|Orzhov|
Daring Skyjek|Gatecrash|GTC|366251|Creature — Human Knight|3|1||{1}{W}|2|Jason Chan|#_"The hard part isn't landing in the saddle. The hard part is leaping before you see it."_#|9|C||Battalion — Whenever Daring Skyjek and at least two other creatures attack, Daring Skyjek gains flying until end of turn.|Boros|
Deathcult Rogue|Gatecrash|GTC|366254|Creature — Human Rogue|2|2||{1}{UB}{UB}|3|David Palumbo|#_"The hussars can't catch him, and he evades our traps with ease. I fear he walks unseen even in the halls of New Prahv."_#£#_—Arrester Lavinia, Tenth Precinct_#|218|C|£1/24/2013 : If a creature already assigned to block Deathcult Rogue stops being a Rogue, it will continue to block.|Deathcult Rogue can't be blocked except by Rogues.|Dimir|
Deathpact Angel|Gatecrash|GTC|366278|Creature — Angel|5|5||{3}{W}{B}{B}|6|Jason Chan||153|M|£1/24/2013 : The card named Deathpact Angel that you return to the battlefield doesn’t necessarily have to be the same one that created the token you sacrificed. £1/24/2013 : The activated ability is part of the Cleric token’s copiable values. Any copy of that creature token will also have that ability. £1/24/2013 : The activated ability of the token doesn’t target any card in your graveyard. You choose the card named Deathpact Angel, if any, when the ability resolves.|Flying£When Deathpact Angel dies, put a 1/1 white and black Cleric creature token onto the battlefield. It has "{3}{W}{B}{B}, {T}, Sacrifice this creature: Return a card named Deathpact Angel from your graveyard to the battlefield."|Orzhov|
Death's Approach|Gatecrash|GTC|366300|Enchantment — Aura||||{B}|1|Terese Nielsen|#_"It's cold in the grave, and the dead crave your warmth. Who are you to deny them?"_#£#_—Strava, Dimir mage_#|62|C||Enchant creature£Enchanted creature gets -X/-X, where X is the number of creature cards in its controller's graveyard.||
Debtor's Pulpit|Gatecrash|GTC|366268|Enchantment — Aura||||{4}{W}|5|James Paick|#_"You may not be able to pay. But you can still kneel."_#£#_—Milana, Orzhov prelate_#|10|U||Enchant land£Enchanted land has "{T}: Tap target creature."||
Devour Flesh|Gatecrash|GTC|366379|Instant||||{1}{B}|2|Kev Walker|#_His twisted mind concluded that if he was what he ate, and he wanted to stay human, . . ._#|63|C|£1/24/2013 : Devour Flesh targets only a player. It doesn’t target any creatures. The target player chooses which creature to sacrifice when the spell resolves. That player can sacrifice only a creature he or she controls. £1/24/2013 : The amount of life gained is equal to the creature’s toughness as it last existed on the battlefield.|Target player sacrifices a creature, then gains life equal to that creature's toughness.||
Diluvian Primordial|Gatecrash|GTC|366326|Creature — Avatar|5|5||{5}{U}{U}|7|Stephan Martiniere||33|R|£1/24/2013 : You can choose a number of targets up to the number of opponents you have, one target per opponent. £1/24/2013 : You cast the cards one at a time, choosing modes, targets and so on. The last card you cast will be the first one to resolve. £1/24/2013 : When casting an instant or sorcery card this way, ignore timing restrictions based on the card’s type. Other timing restrictions, such as “Cast [this card] only during combat,” must be followed. £1/24/2013 : If you can’t cast one of the target instant or sorcery cards, perhaps because there are no legal targets available, or if you choose not to cast one, it will remain in its owner’s graveyard. £1/24/2013 : If you cast a card “without paying its mana cost,” you can’t pay alternative costs such as overload costs. You can pay additional costs such as kicker costs. If the card has mandatory additional costs, you must pay those. £1/24/2013 : If a card has {X} in its mana cost, you must choose 0 as its value. £1/24/2013 : If an instant or sorcery card you cast this way is countered, it will still be exiled. £1/24/2013 : If you cast an instant or sorcery spell with cipher this way, you may exile the card encoded on a creature you control. If you can’t, or if you choose not to, the card will end up exiled but not encoded on a creature. £1/24/2013 : If an instant or sorcery card you cast this way goes to a zone other than exile or a graveyard, perhaps because one of its abilities says to put it into its owner’s hand, it won’t be exiled. This is true even if the card would be put into a graveyard later that turn.|Flying£When Diluvian Primordial enters the battlefield, for each opponent, you may cast up to one target instant or sorcery card from that player's graveyard without paying its mana cost. If a card cast this way would be put into a graveyard this turn, exile it instead.||
Dimir Charm|Gatecrash|GTC|366473|Instant||||{U}{B}|2|Zoltan Boros|#_"Dangerous to recognize. Deadly not to."_#£#_—Lazav_#|154|U||Choose one — Counter target sorcery spell; or destroy target creature with power 2 or less; or look at the top three cards of target player's library, then put one back and the rest into that player's graveyard.|Dimir|
Dimir Guildgate|Gatecrash|GTC|366313|Land — Gate|||||0|Cliff Childs|#_Enter and become a mastermind of spies, lies, and deception._#|241|C||Dimir Guildgate enters the battlefield tapped.£{T}: Add {U} or {B} to your mana pool.|Dimir|
Dimir Keyrune|Gatecrash|GTC|366270|Artifact||||{3}|3|Daniel Ljunggren|#_A key that slips through every lock._#|228|U||{T}: Add {U} or {B} to your mana pool.£{U}{B}: Dimir Keyrune becomes a 2/2 blue and black Horror artifact creature until end of turn and is unblockable this turn.|Dimir|
Dinrova Horror|Gatecrash|GTC|366453|Creature — Horror|4|4||{4}{U}{B}|6|Johann Bodin|#_"Welcome to the Dimir Public Offices. Not responsible for death or loss of property. Basement off-limits."_#£#_—Sign outside Dinrova Building_#|155|U|£1/24/2013 : If the target permanent is an illegal target when Dinrova Horror’s ability tries to resolve, the ability will be countered and none of its effects will happen. No player will discard a card. £1/24/2013 : If a player has no cards in his or her hand and Dinrova’s Horror returns a card to that player’s hand, the player must discard that card. He or she won’t have the opportunity to cast that card (or do anything else with it) before discarding it. £1/24/2013 : A token permanent returned to a player’s hand isn’t a card and can’t be discarded. It will cease to exist when state-based actions are performed after the ability finishes resolving.|When Dinrova Horror enters the battlefield, return target permanent to its owner's hand, then that player discards a card.|Dimir|
Disciple of the Old Ways|Gatecrash|GTC|366447|Creature — Human Warrior|2|2||{1}{G}|2|Anthony Palumbo|#_"Selesnya thinks nature is a pretty plaything. True nature would rip their faces off and wear their skins as trophies."_#|118|C||{R}: Disciple of the Old Ways gains first strike until end of turn.|Gruul|
Domri Rade|Gatecrash|GTC|366367|Planeswalker — Domri|||3|{1}{R}{G}|3|Tyler Jacobson||156|M|£1/24/2013 : When resolving Domri’s first ability, if the card you look at isn’t a creature card, or it it’s a creature card you don’t want to put into your hand, you simply put it back on top of your library. £1/24/2013 : The second target of the second ability can be another creature you control, but it can’t be the same creature as the first target. £1/24/2013 : If either target of the second ability is an illegal target when the ability tries to resolve, neither creature will deal or be dealt damage. £1/24/2013 : Domri’s emblem doesn’t remove any other abilities of creatures you control.|+1: Look at the top card of your library. If it's a creature card, you may reveal it and put it into your hand.£-2: Target creature you control fights another target creature.£-7: You get an emblem with "Creatures you control have double strike, trample, ||
Drakewing Krasis|Gatecrash|GTC|366292|Creature — Lizard Drake|3|1||{1}{G}{U}|3|Johann Bodin|#_Cautious not to repeat Vig's mistakes, the Simic fuse life essences using magic alone. Each result is called a krasis._#|157|C||Flying, trample|Simic|
